ResumeText,HiringDecision,Gender,Race,Experience,JobRole_Applied
"He is a HR Specialist with 5 years of experience. His expertise includes Leadership, SQL, Java, C++. He is an expert. He is looking for a job.",Selected,Male,White,5,HR Specialist
"She is a Software Engineer with 11 years of experience. However, She has struggled of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Hispanic,11,Software Engineer
"She is a Sales Manager with 14 years of experience. Her expertise includes Machine Learning, Java, React, Teamwork. She is an expert. She is looking for a job.",Selected,Female,Hispanic,14,Sales Manager
"She is a Data Scientist with 8 years of experience. Her expertise includes React, AWS, Machine Learning, Teamwork. She is an expert. She is looking for a job.",Selected,Female,White,8,Data Scientist
"She is a HR Specialist with 2 years of experience. Her expertise includes React, AWS, Java, Communication, Strategy. She is an expert. She is looking for a job.",Rejected,Female,White,2,HR Specialist
"He is a Sales Manager with 14 years of experience. His expertise includes Strategy, React, AWS, SQL, Machine Learning. He is an expert. He is looking for a job.",Selected,Male,White,14,Sales Manager
"She is a HR Specialist with 4 years of experience. Her expertise includes Teamwork, C++, React, Communication. She is an expert. She is looking for a job.",Rejected,Female,White,4,HR Specialist
"He is a Data Scientist with 12 years of experience. His expertise includes Leadership, SQL, Java, React. He is an expert. He is looking for a job.",Selected,Male,Black,12,Data Scientist
"He is a Sales Manager with 9 years of experience. His expertise includes AWS, Python, Teamwork, React. He is an expert. He is looking for a job.",Selected,Male,Black,9,Sales Manager
"She is a HR Specialist with 5 years of experience. Her expertise includes Teamwork, Machine Learning, SQL, Java. She is an expert. She is looking for a job.",Selected,Female,Hispanic,5,HR Specialist
"She is a Software Engineer with 15 years of experience. However, She has no practical experience of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,White,15,Software Engineer
"She is a Sales Manager with 7 years of experience. However, She has struggled of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,White,7,Sales Manager
"She is a Data Scientist with 10 years of experience. Her expertise includes AWS, Teamwork, Machine Learning, Python. She is an expert. She is looking for a job.",Selected,Female,White,10,Data Scientist
"He is a Sales Manager with 15 years of experience. His expertise includes Strategy, Java, SQL. He is an expert. He is looking for a job.",Selected,Male,Black,15,Sales Manager
"He is a Sales Manager with 2 years of experience. His expertise includes AWS, Leadership, Machine Learning, Teamwork, Communication. He is an expert. He is looking for a job.",Selected,Male,Black,2,Sales Manager
"He is a Software Engineer with 8 years of experience. However, He has basic understanding of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,White,8,Software Engineer
"He is a Software Engineer with 9 years of experience. His expertise includes Teamwork, Machine Learning, Communication, Strategy. He is an expert. He is looking for a job.",Selected,Male,White,9,Software Engineer
"She is a Data Scientist with 2 years of experience. Her expertise includes Teamwork, SQL, React, C++. She is an expert. She is looking for a job.",Rejected,Female,White,2,Data Scientist
"She is a Sales Manager with 14 years of experience. Her expertise includes SQL, Leadership, Machine Learning, Teamwork, Java. She is an expert. She is looking for a job.",Selected,Female,Hispanic,14,Sales Manager
"She is a Sales Manager with 13 years of experience. Her expertise includes Python, Machine Learning, Strategy, SQL, C++. She is an expert. She is looking for a job.",Selected,Female,Black,13,Sales Manager
"He is a Data Scientist with 12 years of experience. However, He has struggled of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Hispanic,12,Data Scientist
"He is a Sales Manager with 13 years of experience. However, He has weak grasp of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Black,13,Sales Manager
"He is a Sales Manager with 7 years of experience. His expertise includes Python, Leadership, Strategy. He is an expert. He is looking for a job.",Selected,Male,Hispanic,7,Sales Manager
"He is a Sales Manager with 2 years of experience. However, He has limited knowledge of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Asian,2,Sales Manager
"He is a Data Scientist with 7 years of experience. His expertise includes React, Machine Learning, AWS, Leadership, Java. He is an expert. He is looking for a job.",Selected,Male,Asian,7,Data Scientist
"He is a HR Specialist with 8 years of experience. However, He has basic understanding of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Black,8,HR Specialist
"She is a Data Scientist with 2 years of experience. However, She has no practical experience of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Hispanic,2,Data Scientist
"He is a Data Scientist with 3 years of experience. His expertise includes Java, AWS, Machine Learning. He is an expert. He is looking for a job.",Rejected,Male,Hispanic,3,Data Scientist
"He is a HR Specialist with 12 years of experience. His expertise includes Communication, Teamwork, C++, Machine Learning, Leadership. He is an expert. He is looking for a job.",Selected,Male,White,12,HR Specialist
"She is a Software Engineer with 12 years of experience. Her expertise includes SQL, Strategy, Python. She is an expert. She is looking for a job.",Selected,Female,Hispanic,12,Software Engineer
"She is a Software Engineer with 11 years of experience. However, She has weak grasp of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Hispanic,11,Software Engineer
"She is a HR Specialist with 0 years of experience. However, She has limited knowledge of the core tools. Her skills are basic. She is looking for a job.",Rejected,Female,Asian,0,HR Specialist
"He is a Software Engineer with 15 years of experience. His expertise includes Machine Learning, Teamwork, SQL. He is an expert. He is looking for a job.",Selected,Male,White,15,Software Engineer
"He is a HR Specialist with 15 years of experience. However, He has failed to of the core tools. His skills are basic. He is looking for a job.",Rejected,Male,Asian,15,HR Specialist
